,t_idx,target_ee_pos,target_ee_quat,Kp_pos,Kp_rot,is_converged,iter_conv,pos_overshoot,rot_overshoot,final_pos_err,final_rot_err
17,0,[0.54901494 0.18173542 0.2539804 ],[ 0.10287649  0.93678923 -0.31134016 -0.12210518],426.78705840934134,379.4733192202058,True,263,0.0,0.0,0.0020259126073539943,0.009043220620674499
18,0,[0.54901494 0.18173542 0.2539804 ],[ 0.10287649  0.93678923 -0.31134016 -0.12210518],426.78705840934134,426.78705840934134,True,263,0.0,0.0,0.0020255470956138367,0.005012481880250775
19,0,[0.54901494 0.18173542 0.2539804 ],[ 0.10287649  0.93678923 -0.31134016 -0.12210518],426.78705840934134,479.99999999999994,True,262,0.0,0.0,0.0020495404518592777,0.0026003140807376386
20,0,[0.54901494 0.18173542 0.2539804 ],[ 0.10287649  0.93678923 -0.31134016 -0.12210518],479.99999999999994,300.0000000000001,True,285,0.0,0.0,0.0006707885842400426,0.019154463206171514
21,0,[0.54901494 0.18173542 0.2539804 ],[ 0.10287649  0.93678923 -0.31134016 -0.12210518],479.99999999999994,337.4047951142096,True,254,0.0,0.0,0.00127233427557044,0.0177003468209788
22,0,[0.54901494 0.18173542 0.2539804 ],[ 0.10287649  0.93678923 -0.31134016 -0.12210518],479.99999999999994,379.4733192202058,True,237,0.0,0.0,0.0018014686695955366,0.013832420827964556
23,0,[0.54901494 0.18173542 0.2539804 ],[ 0.10287649  0.93678923 -0.31134016 -0.12210518],479.99999999999994,426.78705840934134,True,236,0.0,0.0,0.001821386040328808,0.009912442931824321
24,0,[0.54901494 0.18173542 0.2539804 ],[ 0.10287649  0.93678923 -0.31134016 -0.12210518],479.99999999999994,479.99999999999994,True,236,0.0,0.0,0.0018163610951549228,0.0044716186830213315
25,1,[0.46031553 0.11468379 0.31335957],[-0.17367821  0.71245567 -0.39593301 -0.55270231],300.0000000000001,300.0000000000001,True,352,0.0,0.0,0.0026923332951786266,0.012142616353268092
26,1,[0.46031553 0.11468379 0.31335957],[-0.17367821  0.71245567 -0.39593301 -0.55270231],300.0000000000001,337.4047951142096,True,352,0.0,0.0,0.002699777770943353,0.006767630282358336
27,1,[0.46031553 0.11468379 0.31335957],[-0.17367821  0.71245567 -0.39593301 -0.55270231],300.0000000000001,379.4733192202058,True,353,0.0,0.0,0.0026844123040182287,0.0034457648625705853
28,1,[0.46031553 0.11468379 0.31335957],[-0.17367821  0.71245567 -0.39593301 -0.55270231],300.0000000000001,426.78705840934134,True,354,0.0,0.0,0.0026834967679389313,0.0015937310243863763
29,1,[0.46031553 0.11468379 0.31335957],[-0.17367821  0.71245567 -0.39593301 -0.55270231],300.0000000000001,479.99999999999994,True,355,0.0,0.0,0.0026908853002014467,0.0006760810531942019
30,1,[0.46031553 0.11468379 0.31335957],[-0.17367821  0.71245567 -0.39593301 -0.55270231],337.4047951142096,300.0000000000001,True,315,0.0,0.0,0.0024327864633352774,0.01913871164913329
